true,pred,correct,queries,pred_sents
47,47,True,"the age is 29.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Some college, but less than 1 year, the marital status is Divorced, the occupation is PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers, the place of birth is California/CA, the relationship is Unmarried partner, the usual hours worked per week past 12 months is 45.0, the sex is Female","the age is 29.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Some college, but less than 1 year, the marital status is Divorced, the occupation is PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers, the place of birth is Alabama/AL, the relationship is Unmarried partner, the usual hours worked per week past 12 months is 45.0, the sex is Female"
48,48,True,"the age is 31.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is EAT-Chefs And Head Cooks, the place of birth is Mississippi/MS, the relationship is Housemate or roommate, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 31.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is EAT-Chefs And Head Cooks, the place of birth is Peru, the relationship is Housemate or roommate, the usual hours worked per week past 12 months is 40.0, the sex is Male"
49,49,True,"the age is 25.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is RPR-Maintenance And Repair Workers, General, the place of birth is Georgia/GA, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Female","the age is 25.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is CMM-Computer Support Specialists, the place of birth is Georgia/GA, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Female"
50,56,False,"the age is 50.0, the class of worker is Self-employed in own incorporated business, professional practice or farm, the educational attainment is Regular high school diploma, the marital status is Married, the occupation is PRD-First-Line Supervisors Of Production And Operating Workers, the place of birth is Mississippi/MS, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 59.0, the class of worker is Self-employed in own incorporated business, professional practice or farm, the educational attainment is Regular high school diploma, the marital status is Married, the occupation is CON-Construction Laborers, the place of birth is Georgia/GA, the relationship is Husband/wife, the usual hours worked per week past 12 months is 50.0, the sex is Male"
51,51,True,"the age is 61.0, the class of worker is State government employee, the educational attainment is Masters degree, the marital status is Married, the occupation is FIN-Accountants And Auditors, the place of birth is West Virginia/WV, the relationship is Husband/wife, the usual hours worked per week past 12 months is 30.0, the sex is Male","the age is 61.0, the class of worker is State government employee, the educational attainment is Masters degree, the marital status is Married, the occupation is FIN-Accountants And Auditors, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 30.0, the sex is Male"
52,52,True,"the age is 27.0, the class of worker is State government employee, the educational attainment is Some college, but less than 1 year, the marital status is Never married or under 15 years old, the occupation is CMM-Software Developers, the place of birth is Florida/FL, the relationship is Reference person, the usual hours worked per week past 12 months is 44.0, the sex is Female","the age is 27.0, the class of worker is State government employee, the educational attainment is Some college, but less than 1 year, the marital status is Never married or under 15 years old, the occupation is OFF-Public Safety Telecommunicators, the place of birth is Florida/FL, the relationship is Reference person, the usual hours worked per week past 12 months is 44.0, the sex is Female"
53,53,True,"the age is 67.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Associates degree, the marital status is Divorced, the occupation is CON-Painters and Paperhangers, the place of birth is Indiana/IN, the relationship is Reference person, the usual hours worked per week past 12 months is 6.0, the sex is Male","the age is 67.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Associates degree, the marital status is Divorced, the occupation is CON-Painters and Paperhangers, the place of birth is Indiana/IN, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male"
54,54,True,"the age is 63.0, the class of worker is Federal government employee, the educational attainment is Bachelors degree, the marital status is Married, the occupation is OFF-Postal Service Mail Carriers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 60.0, the sex is Male","the age is 63.0, the class of worker is Federal government employee, the educational attainment is Some college, but less than 1 year, the marital status is Married, the occupation is OFF-Postal Service Mail Carriers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 60.0, the sex is Male"
55,55,True,"the age is 35.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is TRN-Laborers And Freight, Stock, And Material Movers, Hand, the place of birth is Texas/TX, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 35.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is TRN-Laborers And Freight, Stock, And Material Movers, Hand, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 40.0, the sex is Male"
56,56,True,"the age is 59.0, the class of worker is Self-employed in own incorporated business, professional practice or farm, the educational attainment is Regular high school diploma, the marital status is Married, the occupation is CON-Construction Laborers, the place of birth is Georgia/GA, the relationship is Noninstitutionalized group quarters population, the usual hours worked per week past 12 months is 50.0, the sex is Male","the age is 59.0, the class of worker is Self-employed in own incorporated business, professional practice or farm, the educational attainment is Regular high school diploma, the marital status is Married, the occupation is CON-Construction Laborers, the place of birth is Georgia/GA, the relationship is Husband/wife, the usual hours worked per week past 12 months is 50.0, the sex is Male"
57,57,True,"the age is 57.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Separated, the occupation is TRN-Ship And Boat Captains And Operators, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 37.0, the sex is Male","the age is 57.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Divorced, the occupation is TRN-Ship And Boat Captains And Operators, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 37.0, the sex is Male"
58,58,True,"the age is 23.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Grade 10, the marital status is Never married or under 15 years old, the occupation is ENG-Other Engineering Technologists And Technicians, Except Drafters, the place of birth is Alabama/AL, the relationship is Other nonrelative, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 23.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Grade 10, the marital status is Never married or under 15 years old, the occupation is EAT-Cooks, the place of birth is Alabama/AL, the relationship is Other nonrelative, the usual hours worked per week past 12 months is 40.0, the sex is Male"
59,59,True,"the age is 30.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is CON-First-Line Supervisors Of Construction Trades And Extraction Workers, the place of birth is New Jersey/NJ, the relationship is Institutionalized group quarters population, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 30.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is CON-First-Line Supervisors Of Construction Trades And Extraction Workers, the place of birth is Alabama/AL, the relationship is Institutionalized group quarters population, the usual hours worked per week past 12 months is 40.0, the sex is Male"
60,60,True,"the age is 23.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Grade 9, the marital status is Married, the occupation is TRN-Driver/Sales Workers And Truck Drivers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 57.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Grade 9, the marital status is Married, the occupation is TRN-Driver/Sales Workers And Truck Drivers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Male"
61,61,True,"the age is 29.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Bachelors degree, the marital status is Married, the occupation is SAL-First-Line Supervisors Of Retail Sales Workers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 50.0, the sex is Female","the age is 29.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Bachelors degree, the marital status is Married, the occupation is SAL-First-Line Supervisors Of Retail Sales Workers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 50.0, the sex is Male"
62,62,True,"the age is 51.0, the class of worker is Self-employed in own incorporated business, professional practice or farm, the educational attainment is Professional degree beyond a bachelors degree, the marital status is Divorced, the occupation is LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers, the place of birth is Kentucky/KY, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 51.0, the class of worker is Self-employed in own incorporated business, professional practice or farm, the educational attainment is Professional degree beyond a bachelors degree, the marital status is Divorced, the occupation is LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers, the place of birth is Tennessee/TN, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male"
63,63,True,"the age is 26.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Some college, but less than 1 year, the marital status is Married, the occupation is PRD-Welding, Soldering, And Brazing Workers, the place of birth is Colorado/CO, the relationship is Husband/wife, the usual hours worked per week past 12 months is 50.0, the sex is Male","the age is 26.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Some college, but less than 1 year, the marital status is Married, the occupation is PRD-Welding, Soldering, And Brazing Workers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 50.0, the sex is Male"
64,64,True,"the age is 21.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is TRN-Packers And Packagers, Hand, the place of birth is Maine/ME, the relationship is Grandchild, the usual hours worked per week past 12 months is 25.0, the sex is Female","the age is 21.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is TRN-Packers And Packagers, Hand, the place of birth is Maine/ME, the relationship is Grandchild, the usual hours worked per week past 12 months is 25.0, the sex is Male"
65,65,True,"the age is 20.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is TRN-Laborers And Freight, Stock, And Material Movers, Hand, the place of birth is Louisiana/LA, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 28.0, the sex is Male","the age is 20.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is TRN-Laborers And Freight, Stock, And Material Movers, Hand, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 28.0, the sex is Male"
66,66,True,"the age is 30.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is OFF-Bookkeeping, Accounting, And Auditing Clerks, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Female","the age is 30.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is SAL-First-Line Supervisors Of Retail Sales Workers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Female"
67,67,True,"the age is 19.0, the class of worker is Federal government employee, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is SAL-Retail Salespersons, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 25.0, the sex is Female","the age is 19.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is SAL-Retail Salespersons, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 25.0, the sex is Female"
68,40,False,"the age is 49.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Grade 11, the marital status is Married, the occupation is TRN-Other Rail Transportation Workers, the place of birth is Georgia/GA, the relationship is Reference person, the usual hours worked per week past 12 months is 50.0, the sex is Male","the age is 56.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Grade 11, the marital status is Married, the occupation is RPR-Millwrights, the place of birth is Georgia/GA, the relationship is Reference person, the usual hours worked per week past 12 months is 50.0, the sex is Male"
69,69,True,"the age is 19.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is EDU-Other Teachers and Instructors, the place of birth is California/CA, the relationship is Other nonrelative, the usual hours worked per week past 12 months is 6.0, the sex is Female","the age is 19.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is EDU-Other Teachers and Instructors, the place of birth is New Jersey/NJ, the relationship is Other nonrelative, the usual hours worked per week past 12 months is 6.0, the sex is Female"
70,70,True,"the age is 31.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is HLS-Personal Care Aides, the place of birth is Indiana/IN, the relationship is Reference person, the usual hours worked per week past 12 months is 20.0, the sex is Female","the age is 31.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is HLS-Personal Care Aides, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 20.0, the sex is Female"
71,71,True,"the age is 48.0, the class of worker is Federal government employee, the educational attainment is Masters degree, the marital status is Married, the occupation is EDU-Postsecondary Teachers, the place of birth is Texas/TX, the relationship is Husband/wife, the usual hours worked per week past 12 months is 4.0, the sex is Female","the age is 48.0, the class of worker is State government employee, the educational attainment is Masters degree, the marital status is Married, the occupation is EDU-Postsecondary Teachers, the place of birth is Texas/TX, the relationship is Husband/wife, the usual hours worked per week past 12 months is 4.0, the sex is Female"
72,59,False,"the age is 27.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is PRT-Firefighters, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 30.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is CON-First-Line Supervisors Of Construction Trades And Extraction Workers, the place of birth is Alabama/AL, the relationship is Institutionalized group quarters population, the usual hours worked per week past 12 months is 40.0, the sex is Male"
73,73,True,"the age is 45.0, the class of worker is Local government employee (city, county, etc.), the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is OFF-Shipping, Receiving, And Inventory Clerks, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 6.0, the sex is Female","the age is 45.0, the class of worker is Local government employee (city, county, etc.), the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is OFF-Shipping, Receiving, And Inventory Clerks, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Female"
74,41,False,"the age is 41.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is OFF-Office Clerks, General, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 36.0, the sex is Female","the age is 27.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Masters degree, the marital status is Never married or under 15 years old, the occupation is EDU-Elementary And Middle School Teachers, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 40.0, the sex is Female"
75,75,True,"the age is 37.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Bachelors degree, the marital status is Married, the occupation is BUS-Cost Estimators, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 44.0, the sex is Male","the age is 37.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Bachelors degree, the marital status is Married, the occupation is BUS-Cost Estimators, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male"
76,76,True,"the age is 46.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Bachelors degree, the marital status is Widowed, the occupation is PRD-Paper Goods Machine Setters, Operators, And Tenders, the place of birth is Mexico, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Female","the age is 46.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Bachelors degree, the marital status is Married, the occupation is PRD-Paper Goods Machine Setters, Operators, And Tenders, the place of birth is Mexico, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Female"
77,77,True,"the age is 40.0, the class of worker is Employee of a private not-for-profit, tax-exempt, or charitable organization, the educational attainment is Bachelors degree, the marital status is Married, the occupation is EDU-Elementary And Middle School Teachers, the place of birth is Tennessee/TN, the relationship is Husband/wife, the usual hours worked per week past 12 months is 20.0, the sex is Female","the age is 40.0, the class of worker is Employee of a private not-for-profit, tax-exempt, or charitable organization, the educational attainment is Bachelors degree, the marital status is Married, the occupation is EDU-Elementary And Middle School Teachers, the place of birth is Tennessee/TN, the relationship is Husband/wife, the usual hours worked per week past 12 months is 20.0, the sex is Female"
78,78,True,"the age is 67.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Professional degree beyond a bachelors degree, the marital status is Married, the occupation is MED-Physicians, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 50.0, the sex is Male","the age is 60.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Professional degree beyond a bachelors degree, the marital status is Married, the occupation is MED-Physicians, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 50.0, the sex is Male"
79,79,True,"the age is 50.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Divorced, the occupation is TRN-Laborers And Freight, Stock, And Material Movers, Hand, the place of birth is Florida/FL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 50.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Divorced, the occupation is ENG-Other Engineering Technologists And Technicians, Except Drafters, the place of birth is Florida/FL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male"
80,80,True,"the age is 59.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Professional degree beyond a bachelors degree, the marital status is Never married or under 15 years old, the occupation is CLN-Landscaping And Groundskeeping Workers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 59.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Professional degree beyond a bachelors degree, the marital status is Never married or under 15 years old, the occupation is LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Male"
81,81,True,"the age is 66.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Divorced, the occupation is PRD-Sewing Machine Operators, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 32.0, the sex is Male","the age is 66.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Divorced, the occupation is PRD-First-Line Supervisors Of Production And Operating Workers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 32.0, the sex is Male"
82,82,True,"the age is 28.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is GED or alternative credential, the marital status is Married, the occupation is EAT-Chefs And Head Cooks, the place of birth is Colorado/CO, the relationship is Husband/wife, the usual hours worked per week past 12 months is 15.0, the sex is Male","the age is 28.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is GED or alternative credential, the marital status is Married, the occupation is EAT-Chefs And Head Cooks, the place of birth is Colorado/CO, the relationship is Husband/wife, the usual hours worked per week past 12 months is 45.0, the sex is Male"
83,83,True,"the age is 40.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Associates degree, the marital status is Married, the occupation is SAL-Sales Representatives, Wholesale And Manufacturing, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 40.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Associates degree, the marital status is Married, the occupation is SAL-Sales Representatives, Wholesale And Manufacturing, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Male"
84,84,True,"the age is 31.0, the class of worker is Local government employee (city, county, etc.), the educational attainment is 12th Grade - no diploma, the marital status is Married, the occupation is CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers, the place of birth is Mexico, the relationship is Reference person, the usual hours worked per week past 12 months is 35.0, the sex is Male","the age is 31.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 12th Grade - no diploma, the marital status is Married, the occupation is CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers, the place of birth is Mexico, the relationship is Reference person, the usual hours worked per week past 12 months is 35.0, the sex is Male"
85,85,True,"the age is 47.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Divorced, the occupation is OFF-Customer Service Representatives, the place of birth is Alabama/AL, the relationship is Grandchild, the usual hours worked per week past 12 months is 40.0, the sex is Female","the age is 47.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Divorced, the occupation is OFF-Customer Service Representatives, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Female"
86,86,True,"the age is 61.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Divorced, the occupation is SAL-First-Line Supervisors Of Non-Retail Sales Workers, the place of birth is New Jersey/NJ, the relationship is Reference person, the usual hours worked per week past 12 months is 60.0, the sex is Male","the age is 61.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Divorced, the occupation is SAL-First-Line Supervisors Of Non-Retail Sales Workers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 60.0, the sex is Male"
87,87,True,"the age is 44.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Some college, but less than 1 year, the marital status is Divorced, the occupation is OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive, the place of birth is Texas/TX, the relationship is Husband/wife, the usual hours worked per week past 12 months is 35.0, the sex is Female","the age is 44.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Some college, but less than 1 year, the marital status is Married, the occupation is OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive, the place of birth is Texas/TX, the relationship is Husband/wife, the usual hours worked per week past 12 months is 35.0, the sex is Female"
88,9,False,"the age is 33.0, the class of worker is Employee of a private not-for-profit, tax-exempt, or charitable organization, the educational attainment is Masters degree, the marital status is Married, the occupation is MGR-Human Resources Managers, the place of birth is Mississippi/MS, the relationship is Reference person, the usual hours worked per week past 12 months is 40.0, the sex is Female","the age is 39.0, the class of worker is Employee of a private not-for-profit, tax-exempt, or charitable organization, the educational attainment is Bachelors degree, the marital status is Married, the occupation is MGR-Financial Managers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Female"
89,89,True,"the age is 47.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Divorced, the occupation is OFF-Shipping, Receiving, And Inventory Clerks, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 45.0, the sex is Male","the age is 47.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Divorced, the occupation is OFF-Shipping, Receiving, And Inventory Clerks, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 44.0, the sex is Male"
90,90,True,"the age is 26.0, the class of worker is Local government employee (city, county, etc.), the educational attainment is Some college, but less than 1 year, the marital status is Never married or under 15 years old, the occupation is CLN-Janitors And Building Cleaners, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 12.0, the sex is Male","the age is 26.0, the class of worker is Local government employee (city, county, etc.), the educational attainment is Some college, but less than 1 year, the marital status is Never married or under 15 years old, the occupation is CLN-Janitors And Building Cleaners, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 40.0, the sex is Male"
91,91,True,"the age is 46.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Bachelors degree, the marital status is Separated, the occupation is EDU-Elementary And Middle School Teachers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 12.0, the sex is Female","the age is 46.0, the class of worker is Self-employed in own not incorporated business, professional practice, or farm, the educational attainment is Bachelors degree, the marital status is Married, the occupation is EDU-Elementary And Middle School Teachers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 12.0, the sex is Female"
92,92,True,"the age is 21.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is OFF-Office Clerks, General, the place of birth is Alabama/AL, the relationship is Stepson or stepdaughter, the usual hours worked per week past 12 months is 15.0, the sex is Female","the age is 21.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Never married or under 15 years old, the occupation is OFF-Office Clerks, General, the place of birth is Alabama/AL, the relationship is Noninstitutionalized group quarters population, the usual hours worked per week past 12 months is 15.0, the sex is Female"
